"id_eleicao","id_candidato","id_cidade","id_cargo","uf","votos_do_candidato","eleitores","votes_nominais"
131,112506,"61719",6,"SP",0,6889,4749
131,112506,"61727",6,"SP",0,113147,95761
131,112506,"61735",6,"SP",0,5811,5024
131,112506,"61743",6,"SP",0,8794,7850
131,112506,"61751",6,"SP",0,26232,21941
131,112506,"61760",6,"SP",0,2238,1957
131,112506,"61778",6,"SP",30,51307,42824
131,112506,"61786",6,"SP",0,2388,2273
131,112506,"61794",6,"SP",0,53302,44931
131,112506,"61808",6,"SP",0,2587,2250
131,112506,"61816",6,"SP",0,80868,66106
131,112506,"61824",6,"SP",0,1771,1635
131,112506,"61832",6,"SP",1,8953,7054
131,112506,"61840",6,"SP",0,3561,3209
131,112506,"61859",6,"SP",0,3271,2977
131,112506,"61867",6,"SP",0,2087,1847
131,112506,"61875",6,"SP",0,6069,5186
131,112506,"61883",6,"SP",0,1292,1194
131,112506,"61891",6,"SP",0,49460,40982
131,112506,"61905",6,"SP",0,8729,7433
131,112506,"61913",6,"SP",0,9427,8116
131,112506,"61921",6,"SP",0,1822,1646
131,112506,"61930",6,"SP",0,1113,962
131,112506,"61948",6,"SP",0,2400,2179
131,112506,"61956",6,"SP",0,5800,5129
131,112506,"61964",6,"SP",0,1310,1163
131,112506,"61972",6,"SP",0,6498,5388
131,112506,"61980",6,"SP",0,5365,5000
131,112506,"61999",6,"SP",0,4274,3898
131,112506,"62006",6,"SP",0,5935,5275
131,112506,"62014",6,"SP",0,1988,1675
131,112506,"62022",6,"SP",0,1564,1391
131,112506,"62030",6,"SP",0,18303,15127
131,112506,"62049",6,"SP",0,1901,1780
131,112506,"62057",6,"SP",0,24003,19649
131,112506,"62065",6,"SP",0,1631,1522
131,112506,"62073",6,"SP",0,4566,4275
131,112506,"62081",6,"SP",0,1932,1646
131,112506,"62090",6,"SP",0,65556,56571
131,112506,"62103",6,"SP",0,3019,2732
131,112506,"62111",6,"SP",0,17179,13902
131,112506,"62120",6,"SP",0,1157,1050
131,112506,"62138",6,"SP",1,195600,166812
131,112506,"62146",6,"SP",0,3294,2841
131,112506,"62154",6,"SP",0,13425,11183
131,112506,"62162",6,"SP",0,2267,2068
131,112506,"62170",6,"SP",1,34206,28788
131,112506,"62189",6,"SP",0,1434,1291
131,112506,"62197",6,"SP",1,207821,176288
131,112506,"62200",6,"SP",0,1313,1177
131,112506,"62219",6,"SP",0,44936,38045
131,112506,"62227",6,"SP",0,1333,1174
131,112506,"62235",6,"SP",0,1716,1431
131,112506,"62243",6,"SP",0,2966,2583
131,112506,"62251",6,"SP",0,6611,5533
131,112506,"62260",6,"SP",0,1775,1569
131,112506,"62278",6,"SP",0,4750,3913
131,112506,"62286",6,"SP",0,1225,1091
131,112506,"62294",6,"SP",1,66307,54406
131,112506,"62308",6,"SP",0,3049,2678
131,112506,"62316",6,"SP",0,18049,16010
131,112506,"62324",6,"SP",0,1842,1629
131,112506,"62332",6,"SP",0,8077,6945
131,112506,"62340",6,"SP",0,1832,1697
131,112506,"62359",6,"SP",0,6963,5941
131,112506,"62367",6,"SP",0,1073,970
131,112506,"62375",6,"SP",1,5674,4914
131,112506,"62383",6,"SP",0,5856,5021
131,112506,"62391",6,"SP",0,30070,24034
131,112506,"62405",6,"SP",0,1266,1177
131,112506,"62413",6,"SP",1,12061,10123
131,112506,"62421",6,"SP",0,1614,1393
131,112506,"62430",6,"SP",0,839,751
131,112506,"62448",6,"SP",0,1259,1193
131,112506,"62456",6,"SP",0,2970,2704
131,112506,"62472",6,"SP",0,8706,7465
131,112506,"62499",6,"SP",0,75857,62426
131,112506,"62510",6,"SP",1,95525,80851
131,112506,"62553",6,"SP",0,3398,2954
131,112506,"62570",6,"SP",0,12356,10583
131,112506,"62596",6,"SP",0,13474,11394
131,112506,"62618",6,"SP",0,11435,10311
131,112506,"62634",6,"SP",0,9388,7739
131,112506,"62650",6,"SP",0,2775,2506
131,112506,"62677",6,"SP",0,2975,2650
131,112506,"62693",6,"SP",0,26489,22043
131,112506,"62715",6,"SP",0,54984,44446
131,112506,"62731",6,"SP",0,19217,16252
131,112506,"62758",6,"SP",0,10868,9503
131,112506,"62774",6,"SP",0,10141,8857
131,112506,"62790",6,"SP",0,2963,2663
131,112506,"62812",6,"SP",0,52926,41750
131,112506,"62839",6,"SP",0,3037,2773
131,112506,"62855",6,"SP",0,45077,37629
131,112506,"62871",6,"SP",0,6275,5538
131,112506,"62898",6,"SP",0,14297,12233
131,112506,"62910",6,"SP",8,642732,515434
131,112506,"62936",6,"SP",1,48493,39191
131,112506,"62952",6,"SP",0,28902,22990
131,112506,"62979",6,"SP",0,2885,2580
131,112506,"62995",6,"SP",0,7137,6405
131,112506,"63010",6,"SP",0,19033,16026
131,112506,"63037",6,"SP",0,2027,1693
131,112506,"63053",6,"SP",0,27832,25212
131,112506,"63070",6,"SP",0,10363,9069
131,112506,"63096",6,"SP",0,28642,24776
131,112506,"63118",6,"SP",1,59794,47632
131,112506,"63134",6,"SP",3,226694,181195
131,112506,"63150",6,"SP",0,7395,6280
131,112506,"63177",6,"SP",0,15589,13216
131,112506,"63193",6,"SP",0,2027,1739
131,112506,"63215",6,"SP",0,11115,9395
131,112506,"63231",6,"SP",0,68485,58129
131,112506,"63258",6,"SP",1,4899,4212
131,112506,"63274",6,"SP",0,5532,4719
131,112506,"63290",6,"SP",0,10678,8971
131,112506,"63312",6,"SP",0,25061,19368
131,112506,"63339",6,"SP",0,9238,7509
131,112506,"63355",6,"SP",0,10140,8854
131,112506,"63371",6,"SP",0,7643,6542
131,112506,"63398",6,"SP",0,4157,3483
131,112506,"63410",6,"SP",0,11111,9409
131,112506,"63436",6,"SP",0,4277,3876
131,112506,"63452",6,"SP",0,16433,13088
131,112506,"63479",6,"SP",0,9963,8653
131,112506,"63495",6,"SP",0,14071,11315
131,112506,"63517",6,"SP",1,3340,2906
131,112506,"63533",6,"SP",0,3453,3156
131,112506,"63550",6,"SP",0,2474,2103
131,112506,"63576",6,"SP",0,34925,27103
131,112506,"63592",6,"SP",0,4954,4368
131,112506,"63614",6,"SP",2,123151,101102
131,112506,"63630",6,"SP",0,19436,16429
131,112506,"63657",6,"SP",0,5476,4932
131,112506,"63673",6,"SP",0,1808,1710
131,112506,"63690",6,"SP",0,47058,37526
